Word,Part_of_Speech,Audio,Photos
anillo,noun,anillo.ogg,ring-jewelry.png
río,noun,rixo.ogg,yellowstone-national-park-sunset-river.jpg
techo,noun,techo.ogg,tilted-roof.jpg
cuarto,noun,cuarto.ogg,living-room.jpg
raíz,noun,raiz.ogg,bed-bedroom.jpg
sal,noun,sal.ogg,salt-shaker.png
arena,noun,arena.ogg,sand-africa-namibia.jpg
escuela,noun,escuela.ogg,"school-icon.png, classroom.jpg"
ciencia,noun,ciencia.ogg,"chemical-science.png, sketch-cute-child-funny-science.jpg"
pantalla,noun,pantalla.ogg,screen-monitor-tv.png
mar,noun,mar.ogg,"geography-map-mediterranean-sea.jpg, sea-ocean-water-wave-nature-beach.jpg"
temporada,noun,temporada.ogg,autumn-four-seasons-spring-summer.jpg
segundo,noun,segundo.ogg,time-watch-seconds.jpg
secretaria,noun,secretaria.ogg,secretary.jpg
nave,noun,nave.ogg,boat-sea-ship.jpg
camisa,noun,camisa.ogg,dress-shirt-office.png
zapato,noun,zapato.ogg,shoe-brown.png
hombro,noun,hombro.ogg,female-long-hair-back-shoulder.jpg
lado,noun,lado.ogg,sides-game-luck-chance.png
señal,noun,senxal.ogg,traffic-signs-man-at-work.png
hermana,noun,hermana.ogg,two-sisters.jpg
piel,noun,piel.ogg,skin-hair-arm.jpg
falda,noun,falda.ogg,skirt-pleated.png
cielo,noun,cielo.ogg,atmosphere-blue-sky-clouds.jpg
nieve,noun,nieve.ogg,cold-snow-white.jpg
jabón,noun,jabon.ogg,soap-bar.jpg
tierra,noun,tierra.ogg,field-soil-agriculture.png
soldado,noun,soldado.ogg,isolated-soldier.png
hijo,noun,hijo.ogg,father-son-hammock-boy.jpg
canción,noun,cancion.ogg,notes-lyrics-song.png
sonido,noun,sonido.ogg,"sound-music-audio-icon.png, audio-aural-wave.png"
sopa,noun,sopa.ogg,soup-carrot-ginger-food.jpg
sur,noun,sur.ogg,"compass-gold.png, arrow-directions-downwards-south.svg"
cuchara,noun,cuchara.ogg,spoon-cutlery-metal.jpg
deporte,noun,deporte.ogg,"silhouette-sports-basketball.png, tennis-icon.png, sport-shooting-football-soccer.png"
primavera,noun,primavera.ogg,"cherry-tree-flowering-tree-blooming-spring.jpg, season-winter-spring-summer-fall.png"
cuadrado,noun,cuadrado.ogg,square-orange.png
mancha,noun,mancha.ogg,stain-t-shirt.png
estrella,noun,estrella.ogg,star-yellow-symbol.png
piedra,noun,piedra.ogg,rocks-stone-nature.png
alto,noun,alto.ogg,stop-sign-hand.png
tienda,noun,tienda.ogg,"shopping-supermarket.jpg, store-clothing-shop-bouique.jpg"
calle,noun,calle.ogg,architecture-buildings-street.jpg
estudiante,noun,estudiante.ogg,students-classroom.jpg
azúcar,noun,azúcar.ogg,sugar-spoon.jpg
traje,noun,traje.ogg,business-suit.jpg
verano,noun,verano.ogg,"beach-family-fun-leisure.jpg, season-winter-spring-summer-fall.png, straw-bales-stubble-agriculture.jpg"
sol ,noun,sol.ogg,sun-happy-sunshine.png
sudor,noun,sudor.ogg,"sweat-body-fitness.jpg, sweat-sweaty-shirt-back.jpg"
camiseta,noun,camiseta.ogg,tshirt-green.png
mesa,noun,mesa.ogg,table-grey-silver-flat.png
té,noun,tex.ogg,tea-hot-cup.jpg
maestro,noun,maestro.ogg,school-chemistry-uganda-teacher.jpg
equipo,noun,equipo.ogg,"team-basketball.jpg, indian-hockey-team-berlin-1936.jpg"
lágrima,noun,largrima.ogg,tear-drop.jpg
teléfono,noun,telefono.ogg,phone-dial-old.jpg
television,noun,television.ogg,television-icon.png
temperatura,noun,temperatura.ogg,thermometer-summer.jpg
teatro,noun,teatro.ogg,"metz-france-opera-theatre.jpg, theater-comedy-tragedy-masks.png"
