Word,Part_of_Speech,Audio,Photos
movie,noun,,bollywood-movie-cinema.jpg
murder,noun,,potatoes-ketchup-murder.jpg
music,noun,,cd-music-audio-notes.png
nature,noun,,yellowstone-national-park.jpg
neck,noun,,neck-woman.jpg
needle,noun,,needle.png
neighbour,noun,,man-face-grim-evil-neighbor-fence.jpg
network,noun,,network-mobile-communication.jpg
newspaper,noun,,old-newspaper.jpg
night,noun,,night-town.jpg
North,noun,,"compass-gold.png, arrow-black-directions.svg"
nose,noun,,nose-hairs.jpg
note,noun,,post-it-notes.jpg
number,noun,,digit-number.jpg
ocean,noun,,waves-dawn-ocean.jpg
office,noun,,office-space.jpg
oil,noun,,olive-oil.jpg
orange,noun,,orange.jpg
page,noun,,page.png
pain,noun,,backpain-back-pain.png
paint,noun,,paint-art-paintbox.jpg
pants,noun,,jeans-pants.png
paper,noun,,paper-parchment-roll.png
park,noun,,city-park.jpg
patient,noun,,doctor-patient-hospital-child.jpg
pattern,noun,,pattern-indian-cute.png
peace,noun,,decorative-peace-sign.png
pen,noun,,fountain-pen.jpg
pencil,noun,,pencil-green.png
person,noun,,person-icon.png
people,noun,,people-icon.png
photograph,noun,,old-photos.jpg
piece,noun,,"piece-of-cheese.png, piece-of-cake.jpg, puzzle-piece.png"
pig,noun,,pig-cartoon.png
plane,noun,,airplane-aircraft-commercial.jpg
plant,noun,,green-plant-in-pot.pgn
plastic,noun,,eco-friendly-plastic-star.jpg
plate,noun,,porcelain-plate.jpg
player,noun,,american-football-player.jpg
pocket,noun,,jeans-pocket.jpg
poison,noun,,poison.jgp
police,noun,,cop-policewoman-colleagues.jpg
pool,noun,,swimming-pool-water.jpg
pork,noun,,pork-cuts.png
president,noun,,monument-president-landmark.jpg
price,noun,,gasoline-prices-petrol.jpg
priest,noun,,pastor-priest-christian-cartoon.png
prison,noun,,prison-cell-slammer.jpg
queen,noun,,"queen-royalty-crown.png, chess-piece-queen.png, queen-elizabeth-i-england.jpg"
race,noun,,relay-race-competition.jpg
radio,noun,,old-radio-electronic-antique.png
rain,noun,,cloud-weather-rain-rainfall.png
reporter,noun,,woman-talk-live-reporter.png
restaurant,noun,,restaurant-people-eating.jpg
rice,noun,,rice.jpg
ring,noun,,ring-jewelry.png
river,noun,,yellowstone-national-park-sunset-river.jpg
roof,noun,,tilted-roof.jpg
room,noun,,living-room.jpg
root,noun,,bed-bedroom.jpg
salt,noun,,salt-shaker.png
sand,noun,,sand-africa-namibia.jpg
school,noun,,"school-icon.png, classroom.jpg"
science,noun,,"chemical-science.png, sketch-cute-child-funny-science.jpg"
screen,noun,,screen-monitor-tv.png
sea,noun,,"geography-map-mediterranean-sea.jpg, sea-ocean-water-wave-nature-beach.jpg"
season,noun,,autumn-four-seasons-spring-summer.jpg
second,noun,,time-watch-seconds.jpg
secretary,noun,,secretary.jpg
ship,noun,,boat-sea-ship.jpg
shirt,noun,,dress-shirt-office.png
shoe,noun,,shoe-brown.png
shoulder,noun,,female-long-hair-back-shoulder.jpg
side,noun,,sides-game-luck-chance.png
sign,noun,,traffic-signs-man-at-work.png
sister,noun,,two-sisters.jpg
skin,noun,,skin-hair-arm.jpg
skirt,noun,,skirt-pleated.png
